,Title,Published_date,Views,Likes,Dislikes,Comments,videoid
254,Take Your Data Science Projects From Good to Great,2019-08-05,1642,110,0,11,a-Syoa9mPhM
255,The Projects You Should Do To Get A Data Science Job,2019-07-30,153762,5748,0,255,yukdXV9LR48
256,What Does a Data Scientist Actually Do?,2019-07-19,49657,1309,0,80,XWetgrNas-k
257,Data Science Fundamentals: Data Manipulation in Python (Pandas),2019-07-13,13256,358,0,44,yIJrCFXs0rU
258,Data Science Fundamentals: Data Exploration in Python (Pandas),2019-07-05,18376,538,0,61,Z9dGmL2G-4k
259,Data Science: Pros and Cons,2019-06-30,5541,226,0,18,T7BQJJIGrmc
260,How I Got My First Data Science Internship (And How You Can Land One),2019-06-21,26032,1230,0,89,T77uVbLhroQ
261,My Top 5 Data Science Internship Tips,2019-06-15,12163,502,0,24,1Cf7SdnBncg
262,Golf STATS: Strokes Gained Explained,2019-06-07,7982,162,0,30,3cDM9Z-fdz4
263,Most Data Science Hopefuls Overlook This Important Skill,2019-05-25,622,44,0,5,Yr5T3T4tq-g
264,What I Learned From My Three Degrees,2019-05-17,1291,61,0,12,KMOA5arCi8g
265,I Wish I Had Known THIS Before Starting in Data Science,2019-05-14,25700,1067,0,66,Z_KFh-HqaBA
266,NASA Physicist Turned Data Scientist (Tim Bowling) - KNN EP. 02,2019-05-05,1269,40,0,2,5jntoZX-Tc8
267,Should You Learn R for Data Science?,2019-04-25,21988,573,0,72,AxP1CL0yaFQ
268,Scrape Twitter Data in Python with Twitterscraper Module,2019-04-18,46647,851,0,329,zF_Q2v_9zKY
269,Work From Home Data Scientist: Day in the Life,2019-04-12,28221,755,0,101,4CpmB4TR2C4
270,Where to Look for Data Science Jobs,2019-03-29,3034,118,0,9,6sJEnzDjJqI
271,Data Science: Startup vs. Large Corporation,2019-03-21,2286,75,0,4,1UjMBw_7Gi8
272,"Data Science, Machine Learning, and AI: What's the Difference?",2019-03-16,6280,172,0,26,q8cEt8gj3zY
273,Was Captain Marvel Bad? A Sentiment Analysis of Twitter Data,2019-03-09,4263,180,0,15,_CS4u9cORwA
274,Why You DON'T Want to be a WFH Data Scientist,2019-03-03,823,33,0,12,XTrlMQXYqts
275,Welcome To My Channel | Ken Jee | Data Science,2019-03-03,1469,34,0,8,smeFkHwnM_k
276,Where YOU Should Start With Data Science Projects,2019-02-19,17980,355,0,17,sq5TnVJWv6A
277,Watch This Before Applying to Data Science Jobs,2019-02-04,1516,65,0,13,XoUyK3XHZHs
278,My Top 5 Data Science Resources for 2019,2019-01-05,3740,122,0,15,tv1e22u2COk
279,IT'S NOT TOO LATE TO LEARN CODE!,2018-12-18,847,35,0,6,j-Z-je6K4Yg
280,The Best Way to Predict NBA Minutes Played,2018-12-11,4937,116,0,15,sCOX5yShmFA
281,Demystifying Data Science Roles,2018-11-30,1152,53,0,5,FBgs-BSTIJE
282,How to Simulate NBA Games in Python,2018-11-19,18496,404,0,50,irjTWNV0eAY
283,Should You Get A Masters in Data Science?,2018-11-14,20720,303,0,135,RRSRKf9eQxc
284,How I Became A Data Scientist From a Business Background,2018-11-12,6538,199,0,23,IFceyuL6GZY
285,Predicting Season Long NBA Wins Using Multiple Linear Regression,2018-07-10,9077,196,0,17,Y_SMU701qlA
286,Predicting Crypto-Currency Price Using RNN lSTM & GRU,2017-11-18,19323,295,0,41,qfRhKHV8-t4
