,Title,Published_date,Views,Likes,Dislikes,Comments,videoid
64,How to Make $1 Billion Betting on Horse Racing with Machine Learning,2022-01-24,48520,1201,0,140,KEeUR8UDy-s
65,Should You Be Excited About Web 3? (As a Data Scientist),2022-01-17,8948,425,0,82,0jTtHYie3CU
66,Should  @LukeBarousse Take This Data Analyst Job? (Funny) #Shorts,2022-01-14,8613,255,0,33,2RWwN5ZT4tA
67,The Only Data Science Explanation You Need,2022-01-10,64993,2280,0,172,rEWPqw6rMGI
68,We Need to Talk About The LinkedIn Machine Learning Assessment.,2022-01-03,14557,647,0,144,o-wsyxWbPOw
69,How I Would Learn Data Science in 2022 (If I Had to Start Over),2021-12-27,344563,15018,0,532,xpIFS6jZbe8
70,What the Heck is WSL 2? (My New Favorite Tool),2021-12-17,15297,496,0,67,-zbLpoJVBMI
71,How Statistics Saved the US SERIOUS $$$$ During WW2 #Shorts,2021-12-10,8090,572,0,25,scSc6YSanQ0
72,How Zillow Lost $500 MILLION With Machine Learning,2021-12-03,25034,1182,0,142,FqNpDNmpcEo
73,Why Is Data Engineering So HOT Right Now?,2021-11-26,29714,1100,0,137,vwvdtXMcNzI
74,Is Data Science Dying?,2021-11-19,125453,3898,0,360,2qVWurPFwfc
75,7 Incredible Books That Transformed My Health and My Life,2021-11-12,8506,399,0,113,35g8fCi-kbw
76,Why EVERYONE Should Start a Podcast (Including YOU),2021-11-05,3644,202,0,44,n6MiRgxN5iA
77,Building a Burrito Dashboard - Data Science Project from Scratch with atoti,2021-10-29,14077,307,0,39,ammCGdzSoag
78,ML Ops: What is it REALLY?,2021-10-22,7232,286,0,66,15c7WD-lKUY
79,Business Skills for Data Science: What are they REALLY?,2021-10-18,6924,303,0,50,TjGFBQC27ng
80,#66DaysOfData Round 3 Live Event! (feat. @statquest),2021-10-12,2217,122,0,5,qUK5Vk4NvBw
81,Roasting My First Data Science Project (Common Project Mistakes),2021-10-08,6005,283,0,64,cnqTU6eJwH0
82,Is Data Visualization Important for Data Science? (A Data Scientist's Perspective),2021-08-20,13047,533,0,108,k8YxyrcAXJs
83,Project Presentation - Expectations vs. Reality (funny) #shorts,2021-08-07,10339,436,0,32,VvnOXDCVm8k
84,Data Science Project - Expectations vs Reality (funny) #shorts,2021-08-06,42072,1618,0,32,68GGPK3WaqI
85,How I Learned to Learn.,2021-07-31,50992,2362,0,209,S4Lei5mOppc
86,Is Spotify Shuffle Really Random? #Shorts,2021-07-21,11191,609,0,51,tG_UW_p0UqE
87,I Eat a Papaya Live on Stream (Plus Q&A for 150K Subs!),2021-07-16,2464,92,0,30,143WWA5Sy9k
88,Why are APIs Important for Data Science?,2021-07-09,10569,467,0,95,s1gD35Z4eUc
89,Is Your Phone REALLY Listening to You?,2021-07-03,5239,279,0,116,nrEJGGxcoTc
90,Kaggle vs Github - Which is Best for Your Data Science Portfolio?,2021-06-25,16814,639,0,123,KfpOuSH9gDc
91,#66DaysOfData - 3 Reasons to Start!,2021-06-18,4115,225,0,41,sICJ6a2wX5g
92,#66DaysOfData - What is it? #shorts,2021-06-11,9477,399,0,54,iiSZqsQKNX8
93,A Quick Data Science Project Tip! #SHORTS,2021-06-03,16915,1030,0,89,IoUWD1h6xUs
94,Discouraged with Data Science? - Watch THIS video.,2021-05-28,7533,391,0,195,7JCterBrcvk
95,How Data Science Projects Pay Off,2021-05-22,11007,606,0,146,KU__lDJj5iU
96,How I Use Data to Optimize My Life | What I Collect & How I Analyze It,2021-05-14,10735,489,0,134,8nTmuKI2oyA
97,What is a lambda function (python)? #shorts,2021-05-13,16083,973,0,49,SaWxVk7rDp4
98,Why Kaggle Should Be Your Favorite Data Science Resource #shorts,2021-05-07,33758,1745,0,63,n7kjelw9s2w
99,What is Pandas? (Data & Data Science) #shorts,2021-04-30,25064,1287,0,85,8Pi36Nj6P9A
100,The 7 Biggest Data Science  Beginner Mistakes,2021-04-23,77673,3438,0,284,hOUrxTeBJQc
101,Data Scientist Reacts: REAL Data Science Job Application Data,2021-04-16,23646,696,0,85,-ONQ628CXKQ
102,Why You Probably Won't Become a Data Scientist,2021-04-09,139020,4038,0,474,sHRq-LshG3U
103,How to Go From Data Analyst to Data Scientist,2021-04-02,55170,1568,0,178,EMq4PH7PCeA
104,Why I Have 2 Offices for Data Science & Content Creation,2021-03-26,4020,139,0,92,BlSrorP32WM
105,MARCH MADNESS - Will My Machine Learning Model Beat Your Bracket?,2021-03-19,18782,361,0,108,pPfw2fzwNiM
106,My Regrets as a Data Science Student,2021-03-12,24059,881,0,112,hcHSSyHbgMQ
107,My Daily Battle With Time - Will I Win? [Vlog],2021-03-08,3852,195,0,83,ITAxTid_1YU
108,What is the Future of my Comment Leaderboard Project?,2021-02-26,5607,201,0,81,fU3DOXjwufg
109,How to Build a Website  - Building my ULTIMATE Portfolio Website,2021-02-19,6997,176,0,51,tJI-1mHeXoA
110,Why I Quit Data Science,2021-02-12,105405,2351,0,347,SVtRsDhHlDk
111,🌶 Hot Topics in Tech: Data Science Explained #SHORTS,2021-01-29,10812,560,0,116,OtqQYqRNDGI
112,How I Balance Data Science and Content Creation (7 Secrets),2021-01-23,7036,292,0,126,uic34RTaI-w
